Regression Centroids (Box B): 4
Excluded Recent Centroids (Box A): 2
Math Search Window (Bars): 3000
Visual EDT Window (Bars): 1496
Observation Window (Box B Bars): 1135
Total 171 Crossings (n): 107
Timeframe (Sec): 900
Raw Slope (b): -0.26760
Regression Angle: -29.73
Anchored Y-Int: 4417.30201

[MODEL A; CROSSINGS]
Sample (n): 107
R-Square: 0.8055
MSE: 1722.1930
Var Ratio: 1.95
Skewness: -0.21
Kurtosis: 2.21

[MODEL B; CLOSE PRICE]
Sample (n): 1135
R-Square: 0.7958
MSE: 1661.0493
Var Ratio: 2.30
Skewness: -0.22
Kurtosis: 2.33

timestamp	symbol	timeframe	close	CEN_0	CEN_1	CEN_2	CEN_3	CEN_4	CEN_5	CEN_6	CEN_7	CEN_8	CEN_9	CEN_10	CEN_11	Base_FL	EDT_1	EDT_2	EDT_3	EDT_4	EDT_5	EDT_6	EDT_7	EDT_8	horiz_high_map	horiz_low_map	ssa	ema_ssa	crossing
1777980602	XAUUSD	M15	4563.32	4518.59282	4596.05595	4755.40355	4792.76972																				4558.87452	4555.99790	0
1777981502	XAUUSD	M15	4562.60	4518.59282	4596.05595	4755.40355	4792.76972																				4562.40143	4559.19967	0
1777982402	XAUUSD	M15	4565.00	4518.59282	4596.05595	4755.40355	4792.76972																				4565.61475	4562.40721	0
1777983302	XAUUSD	M15	4573.81	4518.59282	4596.05595	4755.40355	4792.76972																				4568.31576	4565.36148	0
1777984202	XAUUSD	M15	4567.11	4518.59282	4596.05595	4755.40355	4792.76972																				4570.29627	4567.82888	0
1777985102	XAUUSD	M15	4564.68	4518.59282	4596.05595	4755.40355	4792.76972																				4571.91455	4569.87171	0
1777986002	XAUUSD	M15	4578.78	4518.59282	4596.05595	4755.40355	4792.76972																				4573.49659	4571.68415	0
1777986902	XAUUSD	M15	4576.85	4518.59282	4596.05595	4755.40355	4792.76972																				4574.90180	4573.29297	0
1777987802	XAUUSD	M15	4574.12	4518.59282	4596.05595	4755.40355	4792.76972																				4576.36918	4574.83108	0
1777988702	XAUUSD	M15	4579.40	4518.59282	4596.05595	4755.40355	4792.76972																				4578.05835	4576.44471	0
1777989602	XAUUSD	M15	4573.57	4518.59282	4596.05595	4755.40355	4792.76972																				4579.74212	4578.09342	0
1777990502	XAUUSD	M15	4584.37	4518.59282	4596.05595	4755.40355	4792.76972																		4586.56000		4581.29573	4579.69457	0
1777991402	XAUUSD	M15	4582.96	4518.59282	4596.05595	4755.40355	4792.76972																				4582.02693	4580.86075	0
1777992302	XAUUSD	M15	4582.46	4518.59282	4596.05595	4755.40355	4792.76972																				4581.63620	4581.24847	0
1777993202	XAUUSD	M15	4580.89	4518.59282	4596.05595	4755.40355	4792.76972																				4580.00739	4580.62793	1
1777994102	XAUUSD	M15	4578.99	4518.59282	4596.05595	4755.40355	4792.76972																				4577.21094	4578.91944	0
1777995002	XAUUSD	M15	4572.95	4518.59282	4596.05595	4755.40355	4792.76972																				4573.51374	4576.21659	0
1777995902	XAUUSD	M15	4568.49	4518.59282	4596.05595	4755.40355	4792.76972																				4569.43095	4572.82377	0
1777996802	XAUUSD	M15	4566.28	4518.59282	4596.05595	4755.40355	4792.76972																				4565.46940	4569.14658	0
1777997702	XAUUSD	M15	4559.70	4518.59282	4596.05595	4755.40355	4792.76972																				4562.04905	4565.59782	0
1777998602	XAUUSD	M15	4556.78	4518.59282	4596.05595	4755.40355	4792.76972																				4559.58679	4562.59231	0
1777999502	XAUUSD	M15	4561.35	4518.59282	4596.05595	4755.40355	4792.76972																				4558.27175	4560.43203	0
1778000402	XAUUSD	M15	4556.20	4518.59282	4596.05595	4755.40355	4792.76972																				4557.88664	4559.15933	0
1778001302	XAUUSD	M15	4558.57	4518.59282	4596.05595	4755.40355	4792.76972																				4558.35341	4558.75637	0
1778002202	XAUUSD	M15	4560.43	4518.59282	4596.05595	4755.40355	4792.76972																				4559.29976	4559.02806	1
1778003102	XAUUSD	M15	4559.93	4518.59282	4596.05595	4755.40355	4792.76972																				4560.34772	4559.68789	0
1778004002	XAUUSD	M15	4564.29	4518.59282	4596.05595	4755.40355	4792.76972																				4561.25065	4560.46927	0
1778004902	XAUUSD	M15	4562.18	4518.59282	4596.05595	4755.40355	4792.76972																				4561.69178	4561.08052	0
1778005802	XAUUSD	M15	4561.56	4518.59282	4596.05595	4755.40355	4792.76972																				4561.62587	4561.35320	0
1778006702	XAUUSD	M15	4561.04	4518.59282	4596.05595	4755.40355	4792.76972																				4561.04124	4561.19722	1
1778007602	XAUUSD	M15	4557.24	4518.59282	4596.05595	4755.40355	4792.76972																				4560.01057	4560.60389	0
1778008502	XAUUSD	M15	4556.32	4518.59282	4596.05595	4755.40355	4792.76972																				4558.71805	4559.66097	0
