z-score_timestamp	z-score_symbol	z-score_timeframe	z-score_close	z-score_open	z-score_high	z-score_low	body_direction	body_size	body_classification
1789727401	XAUUSD	M5	4381.22	4381.44	4381.92	4378.32	-1	0.95633	3
1789727701	XAUUSD	M5	4380.84	4381.22	4382.01	4380.07	-1	0.88641	3
1789728001	XAUUSD	M5	4381.39	4380.82	4381.56	4378.97	1	0.80528	0
1789728301	XAUUSD	M5	4378.86	4381.40	4381.45	4377.43	-1	0.01095	3
1789728601	XAUUSD	M5	4377.51	4378.87	4379.23	4376.28	-1	0.47580	3
1789728901	XAUUSD	M5	4381.79	4377.35	4381.95	4377.12	1	0.79595	0
1789729201	XAUUSD	M5	4385.43	4381.79	4386.81	4381.23	1	0.46616	0
1789729501	XAUUSD	M5	4385.85	4385.51	4386.18	4377.78	1	0.89848	0
1789729801	XAUUSD	M5	4388.22	4385.85	4388.49	4385.49	1	0.05879	0
1789730101	XAUUSD	M5	4381.62	4388.23	4388.49	4381.18	-1	1.68549	4
1789730401	XAUUSD	M5	4381.64	4381.62	4383.65	4381.25	1	1.03203	0
1789730701	XAUUSD	M5	4377.72	4381.63	4383.10	4377.72	-1	0.56918	3
1789731001	XAUUSD	M5	4380.38	4377.85	4381.07	4377.33	1	0.00512	0
1789731301	XAUUSD	M5	4379.43	4380.40	4382.67	4378.37	-1	0.63820	3
1789731601	XAUUSD	M5	4375.88	4379.05	4379.42	4374.70	-1	0.27367	3
1789731901	XAUUSD	M5	4376.35	4375.83	4377.44	4374.44	1	0.82324	0
1789732201	XAUUSD	M5	4373.09	4376.20	4376.37	4372.72	-1	0.25046	3
1789732501	XAUUSD	M5	4381.32	4373.13	4381.83	4372.79	1	2.33623	1
1789732801	XAUUSD	M5	4381.07	4381.54	4382.78	4373.74	-1	0.84496	3
1789733101	XAUUSD	M5	4374.96	4379.82	4381.37	4371.69	-1	0.95945	3
1789733401	XAUUSD	M5	4373.44	4374.95	4375.09	4370.65	-1	0.41974	3
1789733701	XAUUSD	M5	4371.39	4373.54	4376.25	4370.91	-1	0.15303	3
1789734001	XAUUSD	M5	4357.08	4371.28	4371.28	4356.87	-1	4.68380	5
1789734301	XAUUSD	M5	4358.33	4357.15	4360.47	4353.90	1	0.55102	0
1789734601	XAUUSD	M5	4370.75	4358.26	4370.85	4358.26	1	3.91759	2
1789734901	XAUUSD	M5	4368.70	4370.75	4372.98	4368.54	-1	0.21023	3
1789735201	XAUUSD	M5	4369.17	4368.74	4370.71	4366.71	1	0.84843	0
1789735501	XAUUSD	M5	4369.00	4369.37	4370.61	4366.57	-1	0.87235	3
1789735801	XAUUSD	M5	4368.30	4368.67	4370.18	4366.46	-1	0.87104	3
1789736101	XAUUSD	M5	4368.91	4368.66	4369.54	4366.42	1	0.91769	0
1789736401	XAUUSD	M5	4370.75	4368.89	4373.50	4363.91	1	0.28134	0
1789736701	XAUUSD	M5	4372.64	4371.18	4375.63	4370.68	1	0.43559	0
1789737001	XAUUSD	M5	4371.41	4372.67	4373.15	4370.40	-1	0.51157	3
1789737301	XAUUSD	M5	4372.13	4371.62	4374.55	4371.62	1	0.81070	0
1789737601	XAUUSD	M5	4365.30	4372.12	4372.42	4364.81	-1	1.69686	4
1789737901	XAUUSD	M5	4367.15	4365.36	4367.48	4363.07	1	0.30345	0
1789738201	XAUUSD	M5	4358.60	4367.12	4367.63	4358.56	-1	2.35226	4
1789738501	XAUUSD	M5	4359.14	4358.60	4360.32	4353.31	1	0.80090	0
1789738801	XAUUSD	M5	4353.50	4359.12	4359.12	4352.29	-1	1.20082	3
1789739101	XAUUSD	M5	4354.44	4353.49	4358.07	4352.34	1	0.63938	0
1789739401	XAUUSD	M5	4349.84	4354.59	4357.20	4347.78	-1	0.86020	3
1789739701	XAUUSD	M5	4349.44	4349.69	4352.39	4347.38	-1	0.91603	3
1789740001	XAUUSD	M5	4356.02	4349.40	4356.40	4347.74	1	1.66936	1
