timestamp	symbol	timeframe	close	dual_tema_high	dual_tema_low
1771995900	XAUUSD	M5	5188.00	5188.76	5184.40
1771996200	XAUUSD	M5	5188.46	5189.81	5186.08
1771996500	XAUUSD	M5	5192.45	5192.84	5187.80
1771996800	XAUUSD	M5	5188.73	5193.66	5188.50
1771997100	XAUUSD	M5	5195.42	5195.60	5189.02
1771997400	XAUUSD	M5	5197.44	5198.40	5191.37
1771997700	XAUUSD	M5	5197.80	5199.46	5193.83
1771998000	XAUUSD	M5	5202.94	5202.57	5196.31
1771998300	XAUUSD	M5	5209.19	5207.04	5200.03
1771998600	XAUUSD	M5	5208.07	5210.24	5202.74
1771998900	XAUUSD	M5	5201.74	5210.84	5203.39
1771999200	XAUUSD	M5	5193.75	5207.81	5199.79
1771999500	XAUUSD	M5	5186.70	5202.02	5191.90
1771999800	XAUUSD	M5	5191.97	5197.20	5188.28
1772000100	XAUUSD	M5	5193.73	5195.37	5188.41
1772000400	XAUUSD	M5	5190.48	5194.58	5188.51
1772000700	XAUUSD	M5	5189.73	5192.85	5187.96
1772001000	XAUUSD	M5	5192.82	5192.11	5187.36
1772001300	XAUUSD	M5	5193.24	5192.32	5188.65
1772001600	XAUUSD	M5	5191.41	5192.04	5188.62
1772001900	XAUUSD	M5	5192.00	5192.04	5188.55
1772002200	XAUUSD	M5	5191.93	5192.45	5189.21
1772002500	XAUUSD	M5	5194.61	5193.08	5190.11
1772002800	XAUUSD	M5	5188.34	5193.78	5188.88
1772003100	XAUUSD	M5	5193.06	5193.92	5188.42
1772003400	XAUUSD	M5	5188.68	5193.66	5187.74
1772003700	XAUUSD	M5	5186.70	5191.88	5186.39
1772004000	XAUUSD	M5	5186.63	5190.31	5185.06
1772004300	XAUUSD	M5	5189.46	5189.62	5183.32
1772004600	XAUUSD	M5	5188.38	5189.59	5184.32
1772004900	XAUUSD	M5	5186.80	5189.11	5184.71
1772005200	XAUUSD	M5	5186.27	5188.35	5185.10
1772005500	XAUUSD	M5	5187.63	5188.45	5185.04
1772005800	XAUUSD	M5	5182.71	5188.27	5182.69
1772006100	XAUUSD	M5	5184.69	5187.05	5182.29
1772006400	XAUUSD	M5	5188.03	5188.31	5183.31
1772006700	XAUUSD	M5	5186.77	5188.32	5184.52
1772007000	XAUUSD	M5	5187.30	5188.76	5185.37
1772007300	XAUUSD	M5	5192.50	5190.74	5186.16
1772007600	XAUUSD	M5	5193.17	5192.66	5188.55
1772007900	XAUUSD	M5	5193.46	5193.54	5189.77
1772008200	XAUUSD	M5	5195.27	5195.07	5191.81
1772008500	XAUUSD	M5	5193.88	5196.78	5193.50
1772008800	XAUUSD	M5	5192.21	5196.63	5193.24
1772009100	XAUUSD	M5	5192.13	5195.08	5192.47
1772009400	XAUUSD	M5	5187.71	5193.96	5190.31
1772009700	XAUUSD	M5	5185.37	5192.13	5187.41
1772010000	XAUUSD	M5	5181.47	5189.47	5181.91
1772010300	XAUUSD	M5	5184.69	5187.29	5179.66
1772010600	XAUUSD	M5	5183.72	5187.03	5180.56
1772010900	XAUUSD	M5	5185.94	5186.05	5180.43
1772011200	XAUUSD	M5	5186.75	5186.54	5182.22
